Tanggal,NO2,NO2_Clean,NO2_Moving_Avg
2025-05-11 00:00:00+00:00,5.8151912526227534e-05,5.8151912526227534e-05,4.9900454103278336e-05
2025-05-14 00:00:00+00:00,5.088799116492737e-05,5.088799116492737e-05,5.19457732122776e-05
2025-05-16 00:00:00+00:00,4.28034882133943e-05,4.28034882133943e-05,4.5556960766849185e-05
2025-05-17 00:00:00+00:00,3.544416176737286e-05,3.544416176737286e-05,4.158100073579719e-05
2025-05-18 00:00:00+00:00,2.806441716529661e-05,2.806441716529661e-05,4.0204782586832675e-05
2025-05-21 00:00:00+00:00,2.769662023638375e-05,2.769662023638375e-05,4.083857571198938e-05
2025-05-24 00:00:00+00:00,4.978852424149712e-05,4.978852424149712e-05,4.18338736164428e-05
2025-05-25 00:00:00+00:00,5.346330067368399e-05,5.346330067368399e-05,4.1164071923222296e-05
2025-05-28 00:00:00+00:00,4.837092637899332e-05,4.837092637899332e-05,4.0804491239517425e-05
2025-05-29 00:00:00+00:00,6.329157986328937e-05,6.329157986328937e-05,4.373136147521672e-05
2025-05-30 00:00:00+00:00,8.235734276240692e-05,8.235734276240692e-05,5.0433244474507305e-05
2025-05-31 00:00:00+00:00,6.387144821928814e-05,6.387144821928814e-05,5.554853462507752e-05
2025-06-03 00:00:00+00:00,7.071142135828268e-05,7.071142135828268e-05,6.169350621392022e-05
2025-06-04 00:00:00+00:00,4.456721217138693e-05,4.456721217138693e-05,6.0947604489618766e-05
2025-06-05 00:00:00+00:00,8.68848810569034e-05,8.68848810569034e-05,6.572211597293582e-05
2025-06-06 00:00:00+00:00,3.515795469866134e-05,3.515795469866134e-05,6.383454859003126e-05
2025-06-08 00:00:00+00:00,2.519115969334962e-05,2.519115969334962e-05,5.8391631422897004e-05
2025-06-10 00:00:00+00:00,1.367671211482957e-05,1.367671211482957e-05,4.858011275895738e-05
2025-06-11 00:00:00+00:00,3.272345566074364e-05,3.272345566074364e-05,4.4130399536308164e-05
2025-06-12 00:00:00+00:00,1.686641326159588e-05,1.686641326159588e-05,3.643825552249577e-05
2025-06-15 00:00:00+00:00,2.188175449191476e-05,2.188175449191476e-05,3.3197475853999746e-05
2025-06-16 00:00:00+00:00,2.9018346594966715e-05,2.9018346594966715e-05,2.4930828073723076e-05
2025-06-17 00:00:00+00:00,4.000853368779645e-05,4.000853368779645e-05,2.5623767929313806e-05
2025-06-21 00:00:00+00:00,3.4564738143672e-05,3.4564738143672e-05,2.6962850565074143e-05
2025-06-23 00:00:00+00:00,2.8460321118473075e-05,2.8460321118473075e-05,2.907479470845179e-05
2025-06-24 00:00:00+00:00,4.81572060380131e-05,4.81572060380131e-05,3.1279616190918856e-05
2025-06-27 00:00:00+00:00,2.018617760768393e-05,2.018617760768393e-05,3.1753868240360005e-05
2025-06-30 00:00:00+00:00,4.334211325840442e-05,4.334211325840442e-05,3.481963377842996e-05
2025-07-01 00:00:00+00:00,3.754965018742951e-05,3.754965018742951e-05,3.6038391434496066e-05
2025-07-02 00:00:00+00:00,2.8778576051990967e-05,2.8778576051990967e-05,3.443411177223814e-05
2025-07-05 00:00:00+00:00,2.933947644123691e-05,2.933947644123691e-05,3.3687645814747415e-05
2025-07-07 00:00:00+00:00,2.4566637875977904e-05,2.4566637875977904e-05,3.313140535153382e-05
2025-07-08 00:00:00+00:00,2.354900448153785e-05,2.354900448153785e-05,2.961594798632307e-05
2025-07-09 00:00:00+00:00,0.0001246100897939,0.0001246100897939,4.453364972721108e-05
2025-07-10 00:00:00+00:00,0.0001721264716252,0.0001721264716252,6.293141520818188e-05
